Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,20,About half the time,30,Less than half the time,30,Never,,,,
Deal With External Customers,How important is it to work with external customers or the public in this job?,35,Important,35,Fairly important,25,Not important at all,,,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,30,Once a month or more but not every week,45,Once a year or more but not every month,20,Never,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,15,Every day,30,Once a year or more but not every month,45,Never,,,,
Degree of Automation,How automated is the job?,11,Highly automated,16,Moderately automated,42,Slightly automated,32,Not at all automated,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",15,More than half the time,70,Never,,,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",85,Once a year or more but not every month,15,Never,,,,,,
Spend Time Standing,How much does this job require standing?,80,Less than half the time,20,Never,,,,,,
Spend Time Walking and Running,How much does this job require walking and running?,50,Less than half the time,50,Never,,,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,20,Limited responsibility,75,No responsibility,,,,,,
Work Schedules,How regular are the work schedules for this job?,15,"Irregular (changes with weather conditions, production demands, or contract duration)",85,"Regular (established routine, set schedule)",,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",26,Once a year or more but not every month,74,Never,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,95,Never,,,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",95,Never,,,,,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",90,Never,,,,,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",15,Once a year or more but not every month,85,Never,,,,,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,90,Never,,,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,90,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,90,Never,,,,,,,,
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,90,Never,,,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",90,Never,,,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",95,Never,,,,,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),95,Not important at all,,,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,95,Never,,,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,100,Never,,,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,100,Never,,,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,100,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,100,Never,,,,,,,,
Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?",100,Never,,,,,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",100,Never,,,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?",100,Never,,,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,100,Never,,,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",100,Never,,,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",100,Never,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",100,Never,,,,,,,,
