Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",90,Never,,,,,,,,
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,95,Never,,,,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",95,Never,,,,,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",95,Never,,,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,95,Never,,,,,,,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,95,Never,,,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,100,Never,,,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,100,Never,,,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,100,Never,,,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",100,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,100,Never,,,,,,,,
Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?",100,Never,,,,,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",100,Never,,,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",100,Never,,,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?",100,Never,,,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",100,Never,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",100,Never,,,,,,,,
