Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Public Speaking,How often do you have to perform public speaking in this job?,26,Once a week or more but not every day,16,Once a month or more but not every week,53,Once a year or more but not every month,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",15,Continually or almost continually,25,More than half the time,20,Less than half the time,35,Never,,
Frequency of Conflict Situations,How often are there conflict situations the employee has to face in this job?,15,Once a week or more but not every day,20,Once a month or more but not every week,50,Once a year or more but not every month,,,,
Deal With Unpleasant or Angry People,"How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",39,Once a month or more but not every week,28,Once a year or more but not every month,22,Never,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,20,About half the time,30,Less than half the time,35,Never,,,,
Responsible for Others' Health and Safety,How much responsibility is there for the health and safety of others in this job?,15,High responsibility,15,Moderate responsibility,40,Limited responsibility,30,No responsibility,,
Spend Time Standing,How much does this job require standing?,32,About half the time,53,Less than half the time,16,Never,,,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),16,Very important,32,Fairly important,47,Not important at all,,,,
In an Enclosed Vehicle or Equipment,"How often does this job require working in a closed vehicle or equipment (e.g., car)?",15,Once a month or more but not every week,20,Once a year or more but not every month,55,Never,,,,
Spend Time Walking and Running,How much does this job require walking and running?,58,Less than half the time,32,Never,,,,,,
"Indoors, Not Environmentally Controlled","How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?",40,Once a year or more but not every month,50,Never,,,,,,
"Sounds, Noise Levels Are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,25,Once a month or more but not every week,15,Once a year or more but not every month,60,Never,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",11,Once a month or more but not every week,16,Once a year or more but not every month,68,Never,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,26,Less than half the time,68,Never,,,,,,
"Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,20,Once a year or more but not every month,70,Never,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,15,Once a year or more but not every month,75,Never,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?",35,Once a year or more but not every month,65,Never,,,,,,
Spend Time Bending or Twisting the Body,How much does this job require bending or twisting your body?,37,Less than half the time,63,Never,,,,,,
Deal With Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,20,Once a year or more but not every month,75,Never,,,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",30,Less than half the time,70,Never,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?",17,Once a year or more but not every month,78,Never,,,,,,
Extremely Bright or Inadequate Lighting,How often does this job require working in extremely bright or inadequate lighting conditions?,25,Once a year or more but not every month,75,Never,,,,,,
Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,22,Once a year or more but not every month,78,Never,,,,,,
"Outdoors, Exposed to Weather","How often does this job require working outdoors, exposed to all weather conditions?",21,Once a year or more but not every month,79,Never,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, or poles?",21,Less than half the time,79,Never,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,90,Never,,,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",89,Never,,,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",90,Never,,,,,,,,
Work Schedules,How regular are the work schedules for this job?,95,"Regular (established routine, set schedule)",,,,,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,95,Never,,,,,,,,
Exposed to Whole Body Vibration,"How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?",95,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,100,Never,,,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,100,Never,,,,,,,,
In an Open Vehicle or Equipment,"How often does this job require working in an open vehicle or equipment (e.g., tractor)?",100,Never,,,,,,,,
